SL,playlistID,TrackName,TrackID,SampleURL,ReleaseYear,Genres,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,key,mode,duration_ms,Popularity
181,4kpm50ItxF6iFUATTyQdOR,O Saathi,31kHXAWLHAjE3STuapEIyI,https://p.scdn.co/mp3-preview/7a89b091fdc6e372b19e51f35979640cef395cde?cid=6f011d3377f54821bb6607c002103317,2017-07-14,"['desi pop', 'filmi', 'modern bollywood']",0.525,0.422,-7.844,0.0249,0.664,6.13e-06,0.229,0.279,94.165,10,1,286941,45.0
182,4kpm50ItxF6iFUATTyQdOR,Kuch Is Tarah,7MpBCqNHuNc2dgSckXizRo,https://p.scdn.co/mp3-preview/adc31668229b86f62508d368cbf83d81dab919df?cid=6f011d3377f54821bb6607c002103317,2006-12-22,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.647,0.495,-7.189,0.0232,0.84,9.34e-06,0.115,0.333,96.996,5,1,313825,55.0
183,4kpm50ItxF6iFUATTyQdOR,Hona Tha Pyar,0KSOLEBixnBYIKNHF1VbzF,https://p.scdn.co/mp3-preview/fdec988d783ebd65beac5ed1a216995d7bb76e49?cid=6f011d3377f54821bb6607c002103317,2011-06-05,"['classic pakistani pop', 'desi pop', 'filmi', 'modern bollywood', 'sufi']",0.687,0.542,-8.689,0.0307,0.571,0.0307,0.118,0.782,102.994,4,1,221987,55.0
184,4kpm50ItxF6iFUATTyQdOR,Aao Naa,6AKWp18rxG3DZTxp6A2E2T,https://p.scdn.co/mp3-preview/7023bb061e1aa9a1287a203fa5ee36f359b0de35?cid=6f011d3377f54821bb6607c002103317,2004-08-18,"['classic bollywood', 'filmi', 'modern bollywood', 'tamil pop']",0.607,0.455,-8.838,0.0288,0.45,2.21e-05,0.0788,0.419,94.037,4,1,388000,54.0
185,4kpm50ItxF6iFUATTyQdOR,Bhage Re Mann,2RktkeigsgvhuRNQl0ioGS,https://p.scdn.co/mp3-preview/781c7f95304983323188a23d6ac6efeb3830dec3?cid=6f011d3377f54821bb6607c002103317,2003-11-22,"['desi pop', 'filmi', 'modern bollywood', 'sufi']",0.693,0.693,-8.153,0.0388,0.628,2.25e-05,0.178,0.592,117.012,5,0,334053,48.0
186,4kpm50ItxF6iFUATTyQdOR,Hum Tum,6YRbDkyTzsizAWFz8kwiI7,https://p.scdn.co/mp3-preview/794b27c82933ccb4b27ff21cb9a9bd50975bf6d6?cid=6f011d3377f54821bb6607c002103317,2002-04-09,"['afghan pop', 'chutney', 'classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.465,0.682,-8.124,0.0512,0.381,0.00041,0.0801,0.583,164.01,4,1,329221,57.0
187,4kpm50ItxF6iFUATTyQdOR,Suno Na Suno Na,5dS7HcRa9kER2qDba2iSOd,https://p.scdn.co/mp3-preview/c814ecbcd1d90e94d123e67c08fe5800f4b7ded6?cid=6f011d3377f54821bb6607c002103317,2003-05-03,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.6,0.433,-17.076,0.0409,0.0753,0,0.0724,0.378,88.001,9,1,321227,54.0
188,4kpm50ItxF6iFUATTyQdOR,Tauba Tumhare Ishare,6kzj1MWS5tFsoOZUz4c8Hc,https://p.scdn.co/mp3-preview/61acdc6eb88937829affd4d4e3b151436a04fd72?cid=6f011d3377f54821bb6607c002103317,2003-05-03,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.452,0.608,-13.429,0.245,0.357,1.64e-05,0.118,0.676,92.996,4,1,316360,56.0
189,4kpm50ItxF6iFUATTyQdOR,Chalte Chalte,1fAcwdvJs9WqzimQR6wOJ7,https://p.scdn.co/mp3-preview/739af9d369aa269d231be062218189213d76c336?cid=6f011d3377f54821bb6607c002103317,2003-05-03,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.653,0.408,-15.68,0.087,0.655,5.03e-05,0.1,0.672,94.836,5,1,327400,52.0
190,4kpm50ItxF6iFUATTyQdOR,Aur Kya,3p2n1UTPBc5RdQY9X94Xpg,https://p.scdn.co/mp3-preview/2ada0a5a9aa7345e2c601b12751c6c951ac54b0a?cid=6f011d3377f54821bb6607c002103317,1999-12-05,"['afghan pop', 'chutney', 'classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.632,0.682,-6.956,0.0305,0.459,0.000602,0.0909,0.775,119.032,10,1,303733,48.0
191,4kpm50ItxF6iFUATTyQdOR,"Mere Khayalon Ki Malika (From ""Josh"")",67wuqsKi5LZOBAtTLzeK8g,https://p.scdn.co/mp3-preview/9985e4c23bfb3b67d05a46d1cede70e16b247754?cid=6f011d3377f54821bb6607c002103317,2016-07-01,"['classic bollywood', 'desi pop', 'filmi', 'modern bollywood']",0.67,0.3,-14.959,0.0463,0.323,7.61e-06,0.173,0.577,141.873,7,1,297747,39.0
192,4kpm50ItxF6iFUATTyQdOR,Laagi Na Choote,76ZVDFSDmmIfmj8qpsHVJN,https://p.scdn.co/mp3-preview/d35a45a484e5f4bd888ba8377054ac55de69aa21?cid=6f011d3377f54821bb6607c002103317,2017-12-28,"['desi pop', 'filmi', 'modern bollywood']",0.646,0.536,-9.157,0.0318,0.693,2.55e-05,0.11,0.112,119.979,9,1,209828,32.0
193,4kpm50ItxF6iFUATTyQdOR,Shaamein,4QaXdpE2kreKdDkqIKYkUS,https://p.scdn.co/mp3-preview/d73bae364271a327cd7faf7ce894a0ce42b48d6f?cid=6f011d3377f54821bb6607c002103317,2019-11-26,"['desi pop', 'filmi', 'modern bollywood']",0.465,0.485,-7.247,0.0383,0.509,0,0.111,0.488,80.956,6,1,193333,51.0
